example_id,source_row_id,dialect,original_text,normalized_text,chunk_id,chunk_file_name,attempt_count,round_number,last_attempted_masked_text,latest_errors,dropped_at
mt_dial_egy_d4cedf23,76332,DIAL_EGY,ه الي مضحكني ذئب اسيوط مازالك حي ترزق حسبتك مت ياذئب بس شفتو قداش نحبو بلادنا نروح وين يروح الفريق نشري قميص يقارب مرتب شهري ونعطيكم معلومة صغيرة سعر تذكرة جنوب افريقيا 500 يورو فقط انا شخصيا تقارب نصف مرتبي الشهري فاكتر من 60 الف جزائري ذاهب باذن الله فترقبونا بعد الاشهار,ه الي مضحكني ذيب اسيوط مازالك حي ترزق حسبتك مت ياذيب بس شفتو قداش نحبو بلادنا نروح وين يروح الفريق نشري قميص يقارب مرتب شهري ونعطيكم معلومه صغيره سعر تذكره جنوب افريقيا 500 يورو فقط انا شخصيا تقارب نصف مرتبي الشهري فاكتر من 60 الف جزايري ذاهب باذن الله فترقبونا بعد الاشهار,1,chunk_0001.csv,1,0,ه الي مضحكني ذئب [LOC_1] مازالك حي ترزق حسبتك مت ياذئب بس شفتو قداش نحبو بلادنا نروح وين يروح الفريق نشري قميص يقارب مرتب شهري ونعطيكم معلومة صغيرة سعر تذكرة [LOC_2] [NUM_1] يورو فقط انا شخصيا تقارب نصف مرتبي الشهري فاكتر من [NUM_2] الف جزائري ذاهب باذن الله فترقبونا بعد الاشهار,"mt_dial_egy_d4cedf23: masked_text can be aligned to original_text in more than one valid way, so automatic span reconstruction is ambiguous",2026-06-16T10:37:06.980507+00:00
mt_dial_lev_f80b65e7,82021,DIAL_LEV,ماشاء الله عليك ياوحدات العز فعلا صيتك ذايع بكل مكان و جمهورك بالملايين حول العالم ، دعوة تدل على قيمة النادي الكبير عند أشقائه الوصلايه في الامارات و الوطن العربي الكبير تحية لنشامى الفارس الأخضر زعيم الأندية الأردنية نادي الوحدات الأردني صاحب أكبر جماهيرية محليا و اسيويا و عالميا و فعلا مسكين اللي ما عندو وحدات بطل الرباعية التاريخية,ماشاء الله عليك ياوحدات العز فعلا صيتك ذايع بكل مكان و جمهورك بالملايين حول العالم دعوه تدل علي قيمه النادي الكبير عند اشقايه الوصلايه في الامارات و الوطن العربي الكبير تحيه لنشامي الفارس الاخضر زعيم الانديه الاردنيه نادي الوحدات الاردني صاحب اكبر جماهيريه محليا و اسيويا و عالميا و فعلا مسكين اللي ما عندو وحدات بطل الرباعيه التاريخيه,1,chunk_0001.csv,1,0,ماشاء الله عليك يا[ORG_1] العز فعلا صيتك ذايع بكل مكان و جمهورك بالملايين حول العالم ، دعوة تدل على قيمة النادي الكبير عند أشقائه الوصلايه في [LOC_1] و الوطن العربي الكبير تحية لنشامى الفارس الأخضر زعيم الأندية [LOC_2] [ORG_1] [LOC_2] صاحب أكبر جماهيرية محليا و اسيويا و عالميا و فعلا مسكين اللي ما عندو [ORG_1] بطل الرباعية التاريخية,"mt_dial_lev_f80b65e7: masked_text can be aligned to original_text in more than one valid way, so automatic span reconstruction is ambiguous",2026-06-16T10:37:06.980507+00:00
mt_dial_lev_a2b341e5,53182,DIAL_LEV,الفيصلي الزعيم يجب ان يلعب بالصف الثاني لانه بالفيصلي ما فيش فرق بين الفريق الاول والثاني وبالنهايه الزعيم لايقهر واتمنى ان يفوز الفيصلي والوحدات حتى الفيصلي بلاقي شقيقه الوحدات حتى نؤكد لقب الزعيم فوق تاكيد الاتحاد الدولي لانه الفيصلي لعب مباريات الدوري تحت الضغط خوفا من ضياع الدوري والان الفيصلي حقق لقب الدوري ويلعب بكل هدوء واتزان ومعنويه بصفته بطل الابطال بطلا للدوري بعكس الوحدات المنهار نفسيا ومعنويا بضياعه المحافظه على لقب الدوري وخروجه المبكر كالعاده من الدور الاول لكاس الاتحاد الاسيوي وهو الان يلعب تحت الظغط هذا اذا فاز على غزلان الشمال طبعا اتوقع ان يفوز الفيصلي بنتيجة 4 / صفر مع الرحمه لارتفاع المعنويات ولكن احنا مش طماعين بدنا اياها 1 / 0 حتى يبقى الوحدات منافس للفيصلي بالمواسم القادمه بلاش ينهار مره وحده لاننا ننتظر الموسم القادم على احر من الجمر وبدنا اياه بكون بكامل,الفيصلي الزعيم يجب ان يلعب بالصف الثاني لانه بالفيصلي ما فيش فرق بين الفريق الاول والثاني وبالنهايه الزعيم لايقهر واتمني ان يفوز الفيصلي والوحدات حتي الفيصلي بلاقي شقيقه الوحدات حتي نوكد لقب الزعيم فوق تاكيد الاتحاد الدولي لانه الفيصلي لعب مباريات الدوري تحت الضغط خوفا من ضياع الدوري والان الفيصلي حقق لقب الدوري ويلعب بكل هدوء واتزان ومعنويه بصفته بطل الابطال بطلا للدوري بعكس الوحدات المنهار نفسيا ومعنويا بضياعه المحافظه علي لقب الدوري وخروجه المبكر كالعاده من الدور الاول لكاس الاتحاد الاسيوي وهو الان يلعب تحت الظغط هذا اذا فاز علي غزلان الشمال طبعا اتوقع ان يفوز الفيصلي بنتيجه 4 صفر مع الرحمه لارتفاع المعنويات ولكن احنا مش طماعين بدنا اياها 1 0 حتي يبقي الوحدات منافس للفيصلي بالمواسم القادمه بلاش ينهار مره وحده لاننا ننتظر الموسم القادم علي احر من الجمر وبدنا اياه بكون بكامل,1,chunk_0001.csv,1,0,[ORG_1] الزعيم يجب ان يلعب بالصف الثاني لانه ب[ORG_1] ما فيش فرق بين الفريق الاول والثاني وبالنهايه الزعيم لايقهر واتمنى ان يفوز [ORG_1] و[ORG_2] حتى [ORG_1] بلاقي شقيقه [ORG_2] حتى نؤكد لقب الزعيم فوق تاكيد [ORG_3] الدولي لانه [ORG_1] لعب مباريات الدوري تحت الضغط خوفا من ضياع الدوري والان [ORG_1] حقق لقب الدوري ويلعب بكل هدوء واتزان ومعنويه بصفته بطل الابطال بطلا للدوري بعكس [ORG_2] المنهار نفسيا ومعنويا بضياعه المحافظه على لقب الدوري وخروجه المبكر كالعاده من الدور الاول لكاس [ORG_3] الاسيوي وهو الان يلعب تحت الظغط هذا اذا فاز على غزلان الشمال طبعا اتوقع ان يفوز [ORG_1] بنتيجة [NUM_1] / صفر مع الرحمه لارتفاع المعنويات ولكن احنا مش طماعين بدنا اياها [NUM_2] / [NUM_3] حتى يبقى [ORG_2] منافس ل[ORG_1] بالمواسم القادمه بلاش ينهار مره وحده لاننا ننتظر الموسم القادم على احر من الجمر وبدنا اياه بكون بكامل,mt_dial_lev_a2b341e5: placeholder '[ORG_1]' is reused for different surface forms: 'الفيصلي' and 'لفيصلي',2026-06-16T10:37:06.980507+00:00
mt_msa_2af148ae,69591,MSA,ولقد قام زيد بن علي بالخروج على الخلافة الأموية مكرِّرًا تجرِبة جَدِّه الحسين بن علي رضي الله عنهما ، وذلك في زمان هشام بن عبد الملك ، وانتهى الأمر بقتله سنة 122 ه ، وقام أتباعه بتأسيس مذهب على أفكاره عُرف في التاريخ بالزيديَّة نسبة إليه ( زيد بن علي ) ، وهذا المذهب وإن كان محسوبًا على الشيعة إلا أنه يتفق مع السُّنَّة في كل شيء إلا في تفضيل عليٍّ على الخلفاء الراشدين الثلاثة الأوائل ، وأتباع هذا المذهب منتشرون في اليمن ، وهم أقرب الشيعة للسُّنَّة ، وتكاد لا تفرِّقهم عن السنة في معظم الأحوال,ولقد قام زيد بن علي بالخروج علي الخلافه الامويه مكررا تجربه جده الحسين بن علي رضي الله عنهما وذلك في زمان هشام بن عبد الملك وانتهي الامر بقتله سنه 122 ه وقام اتباعه بتاسيس مذهب علي افكاره عرف في التاريخ بالزيديه نسبه اليه زيد بن علي وهذا المذهب وان كان محسوبا علي الشيعه الا انه يتفق مع السنه في كل شيء الا في تفضيل علي علي الخلفاء الراشدين الثلاثه الاوايل واتباع هذا المذهب منتشرون في اليمن وهم اقرب الشيعه للسنه وتكاد لا تفرقهم عن السنه في معظم الاحوال,1,chunk_0001.csv,1,0,,mt_msa_2af148ae: could not align masked_text back to original_text using the placeholder sequence and surrounding literal text,2026-06-16T10:37:06.980507+00:00
mt_dial_egy_51c125b1,40203,DIAL_EGY,مصروالسودان والجزائر اخوه وبلاش شتيمه,مصروالسودان والجزاير اخوه وبلاش شتيمه,1,chunk_0001.csv,1,0,[LOC_1] و[LOC_2] و[LOC_3] اخوه وبلاش شتيمه,mt_dial_egy_51c125b1: could not align masked_text back to original_text using the placeholder sequence and surrounding literal text,2026-06-16T10:37:06.980507+00:00
mt_dial_egy_2700551b,80612,DIAL_EGY,"مع انى ماعنديش وقت اعلق , بس والله مفروس منك , وعارف لو ما سكتش حاجيلك من الاقصر وخليك تسكت للابد",مع اني ماعنديش وقت اعلق بس والله مفروس منك وعارف لو ما سكتش حاجيلك من الاقصر وخليك تسكت للابد,2,chunk_0002.csv,1,0,مع انى ماعنديش وقت اعلق ,mt_dial_egy_2700551b: masked_text changes the original text but contains no typed placeholders; either keep the text unchanged or use placeholders like [PERSON_1],2026-06-16T10:39:55.832965+00:00
mt_msa_2269c6b2,54455,MSA,"تذكروا جيدا أن حلمكم البعيد في بداية هذا الموسم ، والذي قرأناه هنا منكم أنفسكم كان حصد جميع البطولات ، وحين عجزتم عن ذلك قلتم "" الكأس مش مهم ، وكأس ترضية "" ، وإذا كان الكأس كذلك ، ماذا نقول إذا عن بطولة كأس الكؤوس ، والتي تطلق عليها الاتحادات تسمية بطولة رغم أنها عبارة عن مباراة واحدة فقط",تذكروا جيدا ان حلمكم البعيد في بدايه هذا الموسم والذي قراناه هنا منكم انفسكم كان حصد جميع البطولات وحين عجزتم عن ذلك قلتم الكاس مش مهم وكاس ترضيه واذا كان الكاس كذلك ماذا نقول اذا عن بطوله كاس الكووس والتي تطلق عليها الاتحادات تسميه بطوله رغم انها عباره عن مباراه واحده فقط,2,chunk_0002.csv,1,0,"تذكروا جيدا أن حلمكم البعيد في بداية هذا الموسم ، والذي قرأناه هنا منكم أنفسكم كان حصد جميع البطولات ، وحين عجزتم عن ذلك قلتم """" الكأس مش مهم ، وكأس ترضية """" ، وإذا كان الكأس كذلك ، ماذا نقول إذا عن بطولة كأس الكؤوس ، والتي تطلق عليها الاتحادات تسمية بطولة رغم أنها عبارة عن مباراة واحدة فقط",mt_msa_2269c6b2: masked_text changes the original text but contains no typed placeholders; either keep the text unchanged or use placeholders like [PERSON_1],2026-06-16T10:39:55.832965+00:00
mt_dial_lev_21512747,86235,DIAL_LEV,"خبر لا يهم 95 % من المواطنين . وانا منهم مع اني اعاني من الروماتيزم ويعنني العلاج فيها . بس مش مسترجي افكر اروح عليها من كثر ما اسمعت من استغلال . والاسعار العالية . مبروك على الاغنياء الي حاسدينى ويزحموننا على شاطىء السياحي البحر الميت . وصدق الي قال "" الي معهوش ما يلزمهوش",خبر لا يهم 95 من المواطنين وانا منهم مع اني اعاني من الروماتيزم ويعنني العلاج فيها بس مش مسترجي افكر اروح عليها من كثر ما اسمعت من استغلال والاسعار العاليه مبروك علي الاغنياء الي حاسديني ويزحموننا علي شاطيء السياحي البحر الميت وصدق الي قال الي معهوش ما يلزمهوش,2,chunk_0002.csv,1,0,"خبر لا يهم [NUM_1] % من المواطنين . وانا منهم مع اني اعاني من الروماتيزم ويعنني العلاج فيها . بس مش مسترجي افكر اروح عليها من كثر ما اسمعت من استغلال . والاسعار العالية . مبروك على الاغنياء الي حاسدينى ويزحموننا على شاطىء السياحي [LOC_1] . وصدق الي قال """" الي معهوش ما يلزمهوش",mt_dial_lev_21512747: could not align masked_text back to original_text using the placeholder sequence and surrounding literal text,2026-06-16T10:39:55.832965+00:00
mt_msa_22939f70,72742,MSA,"جملة "" حشرناهم في ملعبهم "" وجملة "" المباراة على باب واحد "" لم تعد تعرف بمعنى ضعف فريق وقوة هجوم فريق آخر . . بل أصبحت تكتيك وخطط يعمل لها ألف حساب من قبل المدربين . . بمعنى . . الأهداف فقط هي ما يعني التفوق فقط لا غير . . لا المستوى . . ولا إضاعة الفرص تفيد . . لا فرق بين تسديدة خارج الملعب . . وتسديدة في العارضة . . إلا إذا ارتدت تسديدة العارض إلى المهاجم ! يا رب . . وفق الهلال . . آمين",جمله حشرناهم في ملعبهم وجمله المباراه علي باب واحد لم تعد تعرف بمعني ضعف فريق وقوه هجوم فريق اخر بل اصبحت تكتيك وخطط يعمل لها الف حساب من قبل المدربين بمعني الاهداف فقط هي ما يعني التفوق فقط لا غير لا المستوي ولا اضاعه الفرص تفيد لا فرق بين تسديده خارج الملعب وتسديده في العارضه الا اذا ارتدت تسديده العارض الي المهاجم يا رب وفق الهلال امين,2,chunk_0002.csv,1,0,"جملة """" حشرناهم في ملعبهم """" وجملة """" المباراة على باب واحد """" لم تعد تعرف بمعنى ضعف فريق وقوة هجوم فريق آخر . . بل أصبحت تكتيك وخطط يعمل لها ألف حساب من قبل المدربين . . بمعنى . . الأهداف فقط هي ما يعني التفوق فقط لا غير . . لا المستوى . . ولا إضاعة الفرص تفيد . . لا فرق بين تسديدة خارج الملعب . . وتسديدة في العارضة . . إلا إذا ارتدت تسديدة العارض إلى المهاجم ! يا رب . . وفق [ORG_1] . . آمين","mt_msa_22939f70: original_text does not start with the unmasked prefix 'جملة """" حشرناهم في ملعبهم """" وجملة """" المباراة على باب واحد """" لم تعد تعرف بمعنى ضعف فريق وقوة هجوم فريق آخر . . بل أصبحت تكتيك وخطط يعمل لها ألف حساب من قبل المدربين . . بمعنى . . الأهداف فقط هي ما يعني التفوق فقط لا غير . . لا المستوى . . ولا إضاعة الفرص تفيد . . لا فرق بين تسديدة خارج الملعب . . وتسديدة في العارضة . . إلا إذا ارتدت تسديدة العارض إلى المهاجم ! يا رب . . وفق ' from masked_text",2026-06-16T10:39:55.832965+00:00
mt_dial_egy_131cab09,31133,DIAL_EGY,كلنا فاكرين طبعا المجرم اللي انتو خلتووه مجرم بجد ( الكابتن محمد فضل ) مع فهيم . . عشان فهيم ضربه كام مرة وقلة ادب واضحة من فهيم الا انكم مسكتم ( فضل ) متلبس وهو بيبصف عليه . . ومع ان الكاميرا ماجبتش ( فضل ) وهو بيعمل كدة الا انكم عملتو فرح .,كلنا فاكرين طبعا المجرم اللي انتو خلتووه مجرم بجد الكابتن محمد فضل مع فهيم عشان فهيم ضربه كام مره وقله ادب واضحه من فهيم الا انكم مسكتم فضل متلبس وهو بيبصف عليه ومع ان الكاميرا ماجبتش فضل وهو بيعمل كده الا انكم عملتو فرح,3,chunk_0003.csv,1,0,كلنا فاكرين طبعا المجرم اللي انتو خلتووه مجرم بجد ( الكابتن [PERSON_1] ) مع [PERSON_2] . . عشان [PERSON_2] ضربه كام مرة وقلة ادب واضحة من [PERSON_2] الا انكم مسكتم ( [PERSON_1] ) متلبس وهو بيبصف عليه . . ومع ان الكاميرا ماجبتش ( [PERSON_1] ) وهو بيعمل كدة الا انكم عملتو فرح .,mt_dial_egy_131cab09: placeholder '[PERSON_1]' is reused for different surface forms: 'محمد فضل' and 'فضل',2026-06-16T10:41:04.034177+00:00
